Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,birth_year_fb,market_value_eur,player_id,dob,age,join_method
fabrizio sartori,ar ARG,"FW,MF",Ind. Rivadavia,21,2002,1.2,0,0,0.2,0.0,3,0,7,13,53.85,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,fabrizio sartori,fabrizio sartori,ind rivadavia,2002,225000,978970,2002-07-15,23,first+last+birth_year
facundo altamira,0,"MF,FW",Godoy Cruz,0,0,16.7,3,1,3.3,2.1,29,11,206,349,59.03,27,16,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,facundo altamira,facundo altamira,godoy cruz,0,,,nan,,
facundo altamirano,ar ARG,GK,San Lorenzo,27,1996,9.0,0,0,0.0,0.0,0,0,179,253,70.75,1,0,0,0,11.0,1.22,32.0,22.0,65.6,2.0,22.2,0.0,0.0,0.0,0.0,10.7,0.35,0.7,0.08,23.0,86.0,26.7,197.0,28.0,32.5,33.0,3.0,2.6,8.0,0.89,15.8,True,27.0,facundo altamirano,facundo altamirano,san lorenzo,1996,800000,362358,1996-03-21,29,key+birth_year
facundo ardiles,ar ARG,"DF,FW",Godoy Cruz,25,1998,3.7,0,0,0.0,0.2,1,0,121,166,72.89,9,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,facundo ardiles,facundo ardiles,godoy cruz,1998,,,nan,,
facundo baez,ar ARG,"FW,DF",Arg Juniors,19,2004,0.3,0,0,0.0,0.0,1,0,3,14,21.43,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,facundo baez,facundo baez,arg juniors,2004,,,nan,,
facundo bruera,ar ARG,FW,Barracas Central,25,1998,8.5,3,0,3.0,0.5,22,5,104,177,58.76,6,3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,facundo bruera,facundo bruera,barracas central,1998,1800000,538880,1998-09-23,27,key+birth_year
facundo butti,ar ARG,DF,Godoy Cruz,23,2000,1.1,0,0,0.0,0.0,0,0,19,23,82.61,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,facundo butti,facundo butti,godoy cruz,2000,,,nan,,
facundo cambeses,ar ARG,GK,Racing Club,26,1997,6.5,0,0,0.0,0.0,0,0,122,181,67.4,0,0,0,0,12.0,1.85,34.0,21.0,64.7,1.0,16.7,1.0,0.0,1.0,0.0,10.3,0.3,-1.7,-0.26,18.0,74.0,24.3,133.0,19.0,39.1,37.0,3.0,3.3,5.0,0.77,11.9,True,26.0,facundo cambeses,facundo cambeses,racing club,1997,1700000,435001,1997-04-09,28,key+birth_year
facundo colidio,ar ARG,FW,River Plate,24,2000,15.6,7,1,5.7,3.3,40,20,323,464,69.61,21,14,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,facundo colidio,facundo colidio,river plate,2000,6000000,491705,2000-01-04,25,key+birth_year
facundo echevarria,ar ARG,"FW,MF",Defensa y Just,21,2002,2.6,0,1,0.2,0.6,7,0,46,71,64.79,4,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,facundo echevarria,facundo echevarria,defensa y justicia,2002,,,nan,,
facundo ferreyra,ar ARG,FW,Tigre,32,1991,3.6,1,0,1.5,0.2,5,2,43,69,62.32,2,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,facundo ferreyra,facundo ferreyra,tigre,1991,,,nan,,
facundo kruger,ar ARG,FW,Barracas Central,23,2000,0.2,0,0,0.0,0.0,0,0,2,5,40.0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,facundo kruger,facundo kruger,barracas central,2000,75000,755666,2000-06-05,25,key+birth_year
facundo lencioni,ar ARG,"DF,MF",Belgrano,22,2001,3.4,0,1,0.2,0.4,4,0,58,103,56.31,8,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,facundo lencioni,facundo lencioni,belgrano,2001,,,nan,,
facundo mallo,uy URU,DF,Rosario Central,29,1995,13.2,2,0,1.2,0.1,13,5,351,522,67.24,11,7,14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,facundo mallo,facundo mallo,rosario central,1995,1700000,347193,1995-01-16,30,key+birth_year
facundo mater,sy SYR,"DF,MF",Barracas Central,25,1998,10.0,0,0,0.7,0.7,9,1,366,496,73.79,26,18,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,facundo mater,facundo mater,barracas central,1998,1200000,538774,1998-07-23,27,key+birth_year
facundo mura,ar ARG,"DF,MF",Racing Club,24,1999,8.3,3,0,0.7,0.6,8,3,281,392,71.68,13,8,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,facundo mura,facundo mura,racing club,1999,1500000,642759,1999-03-23,26,key+birth_year
facundo quignon,ar ARG,MF,Belgrano,30,1993,15.0,1,2,0.8,1.4,5,4,571,674,84.72,48,30,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,facundo quignon,facundo quignon,belgrano,1993,500000,131218,1993-05-02,32,key+birth_year
facundo rodriguez,ar ARG,DF,Estudiantes–LP,23,2000,13.5,1,0,0.2,0.1,3,2,444,565,78.58,16,11,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,facundo rodriguez,facundo rodriguez,estudiantes lp,2000,800000,663491,2000-02-26,25,first+last+birth_year
facundo roncaglia,ar ARG,DF,Sarmiento,36,1987,7.5,0,0,0.0,0.2,1,0,184,247,74.49,14,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0,facundo roncaglia,facundo roncaglia,sarmiento,1987,25000,61546,1987-02-10,38,key+birth_year
facundo russo,ar ARG,MF,Platense,23,2000,1.8,0,0,0.1,0.0,2,0,19,41,46.34,3,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,facundo russo,facundo russo,platense,2000,,,nan,,
facundo sanguinetti,ar ARG,GK,Banfield,22,2001,25.7,0,0,0.0,0.0,0,0,487,720,67.64,0,0,0,0,35.0,1.36,107.0,70.0,70.1,5.0,20.0,5.0,3.0,2.0,0.0,30.9,0.26,-4.1,-0.16,99.0,308.0,32.1,509.0,112.0,37.5,35.5,25.0,6.4,10.0,0.39,12.6,True,22.0,facundo sanguinetti,facundo sanguinetti,banfield,2001,2000000,870032,2001-03-01,24,key+birth_year
facundo suarez,ar ARG,FW,Instituto,29,1994,14.7,3,3,3.6,1.2,37,10,178,332,53.61,11,7,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,facundo suarez,facundo suarez,instituto,1994,700000,702259,1994-07-01,31,first+last+birth_year
favio cabral,ar ARG,FW,Cen. Córdoba–SdE,22,2001,6.2,4,1,3.3,1.1,16,6,79,116,68.1,4,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,favio cabral,favio cabral,cen cordoba sde,2001,150000,748210,2001-02-05,24,first+last+birth_year
federico aguirre,ar ARG,FW,Barracas Central,21,2002,3.0,0,0,0.2,0.1,2,1,41,55,74.55,3,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,federico aguirre,federico aguirre,barracas central,2002,,,nan,,
federico andueza,uy URU,DF,Cen. Córdoba–SdE,26,1997,0.7,0,0,0.0,0.0,0,0,19,32,59.38,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,federico andueza,federico andueza,cen cordoba sde,1997,,,nan,,
federico fattori,ar ARG,MF,Huracán,31,1992,19.2,0,1,0.1,0.6,5,1,893,1110,80.45,44,31,36,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,federico fattori,federico fattori,huracan,1992,650000,357956,1992-07-22,33,first+last+birth_year
federico fernandez,ar ARG,DF,Estudiantes–LP,34,1989,8.5,0,0,0.5,0.2,5,0,430,479,89.77,4,3,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,federico fernandez,federico fernandez,estudiantes lp,1989,,,nan,,
federico gattoni,ar ARG,DF,River Plate,24,1999,4.6,0,0,0.1,0.0,1,0,249,292,85.27,6,2,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,federico gattoni,federico gattoni,river plate,1999,1300000,660735,1999-02-16,26,key+birth_year
federico girotti,ar ARG,FW,Talleres,24,1999,16.4,3,0,5.1,0.9,38,10,250,370,67.57,7,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,federico girotti,federico girotti,talleres,1999,2200000,639149,1999-06-02,26,key+birth_year
federico mancuello,ar ARG,"MF,FW",Independiente,34,1989,9.0,1,1,1.2,0.9,20,5,235,349,67.34,11,7,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,federico mancuello,federico mancuello,independiente,1989,250000,96313,1989-03-26,36,key+birth_year
federico medina,ar ARG,FW,Banfield,19,2004,0.1,0,0,0.0,0.0,0,0,4,4,100.0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,federico medina,federico medina,banfield,2004,,,nan,,
federico milo,ar ARG,DF,Ind. Rivadavia,32,1992,6.2,0,0,0.1,0.2,4,0,150,267,56.18,22,19,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,federico milo,federico milo,ind rivadavia,1992,,,nan,,
federico paradela,ar ARG,MF,Sarmiento,24,1999,0.6,0,0,0.0,0.1,0,0,24,33,72.73,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,federico paradela,federico paradela,sarmiento,1999,75000,890130,2001-07-03,24,key_no_year
federico rasmussen,ar ARG,DF,Godoy Cruz,31,1992,23.9,0,0,0.0,0.3,1,0,791,948,83.44,38,22,14,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,federico rasmussen,federico rasmussen,godoy cruz,1992,375000,131219,1992-03-04,33,first+last+birth_year
federico vera,ar ARG,DF,Independiente,25,1998,12.7,0,0,0.1,0.6,3,2,411,565,72.74,29,19,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,federico vera,federico vera,independiente,1998,1500000,829967,1998-03-24,27,key+birth_year
felipe aguilar,co COL,DF,Independiente,31,1993,0.5,0,0,0.0,0.0,0,0,7,8,87.5,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,felipe aguilar,felipe aguilar,independiente,1993,,,nan,,
felipe loyola,cl CHI,"MF,DF",Independiente,23,2000,18.0,2,2,1.5,1.6,23,7,523,695,75.25,33,18,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,felipe loyola,felipe loyola,independiente,2000,9000000,843286,2000-11-09,24,key+birth_year
felipe pena,ar ARG,MF,Lanús,22,2001,13.2,2,0,0.6,0.7,13,4,527,677,77.84,28,18,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,felipe pena,felipe pena,lanus,2001,2200000,894194,2001-04-05,24,fuzzy(100.0)
felipe sanchez,ar ARG,"DF,FW",Gimnasia–LP,19,2004,0.3,0,0,0.0,0.0,0,0,11,14,78.57,4,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,felipe sanchez,felipe sanchez,gimnasia lp,2004,,,nan,,
felipe zenobio,ar ARG,GK,Tigre,23,2000,24.4,0,0,0.0,0.0,0,0,582,750,77.6,0,0,0,0,28.0,1.15,93.0,66.0,73.1,9.0,36.0,3.0,3.0,0.0,0.0,28.8,0.29,1.8,0.07,73.0,219.0,33.3,543.0,134.0,26.7,31.1,36.0,8.8,15.0,0.62,11.3,True,23.0,felipe zenobio,felipe zenobio,tigre,2000,3000000,826527,2000-05-22,25,key+birth_year
fernando alarcon,ar ARG,DF,Instituto,29,1994,18.6,2,0,1.1,0.2,19,6,593,815,72.76,28,17,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,fernando alarcon,fernando alarcon,instituto,1994,1500000,376853,1994-06-16,31,first+last+birth_year
fernando benitez,ar ARG,"FW,MF",Cen. Córdoba–SdE,23,2000,6.5,1,2,0.9,1.6,12,3,123,180,68.33,8,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,fernando benitez,fernando benitez,cen cordoba sde,2000,,,nan,,
fernando david cardozo,py PAR,"FW,MF",Newell's OB,22,2001,7.5,0,0,1.1,0.1,11,0,168,261,64.37,18,13,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,fernando david cardozo,fernando cardozo,newell s ob,2001,,,nan,,
fernando godoy,ar ARG,MF,Sarmiento,33,1990,2.2,0,0,0.0,0.0,1,0,37,56,66.07,8,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,fernando godoy,fernando godoy,sarmiento,1990,,,nan,,
fernando juarez,ar ARG,MF,Platense,25,1998,22.8,0,0,0.2,0.7,6,1,520,755,68.87,64,48,22,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,fernando juarez,fernando juarez,platense,1998,800000,439627,1998-08-23,27,first+last+birth_year
fernando martinez,ar ARG,"DF,FW",Cen. Córdoba–SdE,23,2000,2.3,0,0,0.4,0.0,1,1,43,60,71.67,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,fernando martinez,fernando martinez,cen cordoba sde,2000,100000,880025,2000-07-27,25,first+last+birth_year
fernando meza,ar ARG,DF,Arg Juniors,33,1990,5.2,1,0,0.8,0.1,2,2,210,253,83.0,2,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,fernando meza,fernando meza,arg juniors,1990,,,nan,,
fernando romero,py PAR,FW,Ind. Rivadavia,23,2000,7.3,1,0,0.9,0.4,12,3,76,124,61.29,7,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,fernando romero,fernando romero,ind rivadavia,2000,,,nan,,
fernando tobio,ar ARG,DF,Huracán,34,1989,16.4,1,0,0.7,0.0,5,4,513,657,78.08,18,13,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,fernando tobio,fernando tobio,huracan,1989,200000,69802,1989-10-18,35,first+last+birth_year
fernando zuqui,ar ARG,MF,Estudiantes–LP,32,1991,3.2,0,0,0.1,0.3,2,1,206,236,87.29,2,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,fernando zuqui,fernando zuqui,estudiantes lp,1991,,,nan,,
flabian londono,co COL,FW,Tigre,23,2000,0.8,0,0,0.0,0.0,0,0,8,10,80.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,flabian londono,flabian londono,tigre,2000,,,nan,,
florian monzon,ar ARG,"FW,MF",Tigre,23,2001,10.1,6,2,3.4,2.1,23,13,165,294,56.12,8,6,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,florian monzon,florian monzon,tigre,2001,2000000,756993,2001-01-03,24,first+last+birth_year
francesco lo celso,ar ARG,"FW,MF",Rosario Central,23,2000,2.7,0,1,0.2,0.3,3,2,91,113,80.53,2,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,francesco lo celso,francesco celso,rosario central,2000,50000,642757,2000-03-05,25,key+birth_year
francis mac allister,ar ARG,MF,Arg Juniors,28,1995,13.1,0,0,0.3,0.2,10,1,558,684,81.58,42,23,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,francis mac allister,francis allister,arg juniors,1995,400000,440380,1995-10-30,29,first+last+birth_year
francisco alvarez,ar ARG,DF,Arg Juniors,23,2000,23.2,2,0,0.7,0.4,22,2,1273,1501,84.81,49,31,19,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,francisco alvarez,francisco alvarez,arg juniors,2000,4000000,565766,2000-02-26,25,first+last+birth_year
francisco bonfiglio,es ESP,"FW,MF",Atlé Tucumán,22,2002,1.5,0,0,0.7,0.2,6,1,19,34,55.88,4,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,francisco bonfiglio,francisco bonfiglio,atle tucuman,2002,,,nan,,
francisco facello,ar ARG,DF,Belgrano,21,2003,4.8,0,0,0.0,0.1,0,0,83,144,57.64,16,11,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,francisco facello,francisco facello,belgrano,2003,50000,1159862,2003-01-11,22,first+last+birth_year
francisco flores,ar ARG,DF,Atlé Tucumán,22,2002,5.1,0,0,0.1,0.0,1,0,108,153,70.59,6,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,francisco flores,francisco flores,atle tucuman,2002,,,nan,,
francisco fydriszewski,ar ARG,FW,San Lorenzo,30,1993,1.1,0,0,0.8,0.1,1,0,14,21,66.67,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,francisco fydriszewski,francisco fydriszewski,san lorenzo,1993,,,nan,,
francisco gerometta,ar ARG,DF,Unión,24,1999,3.7,0,0,0.1,0.6,2,0,58,107,54.21,15,10,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,francisco gerometta,francisco gerometta,union,1999,250000,745789,1999-09-01,26,key+birth_year
francisco gonzalez,ar ARG,MF,Belgrano,26,1997,21.8,0,4,2.6,3.6,36,9,642,852,75.35,52,36,36,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,francisco gonzalez,francisco gonzalez,belgrano,1997,2200000,442679,1997-03-29,28,fuzzy(100.0)
francisco marco,ar ARG,DF,Defensa y Just,20,2003,0.9,0,0,0.0,0.0,0,0,35,44,79.55,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,francisco marco,francisco marco,defensa y justicia,2003,,,nan,,
francisco montoro,ar ARG,FW,Vélez Sarsfield,19,2004,0.1,0,0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,francisco montoro,francisco montoro,velez sarsfield,2004,,,nan,,
francisco perruzzi,ar ARG,"MF,FW",San Lorenzo,22,2001,1.6,0,0,0.1,0.0,1,1,77,91,84.62,9,5,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,francisco perruzzi,francisco perruzzi,san lorenzo,2001,300000,963139,2001-02-09,24,key+birth_year
francisco petrasso,ar ARG,DF,Ind. Rivadavia,21,2002,4.8,1,0,0.3,0.0,4,2,98,148,66.22,10,7,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,francisco petrasso,francisco petrasso,ind rivadavia,2002,,,nan,,
francisco pizzini,ar ARG,FW,Vélez Sarsfield,30,1993,24.1,4,5,5.8,5.3,51,20,553,802,68.95,21,14,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,francisco pizzini,francisco pizzini,velez sarsfield,1993,1800000,213122,1993-09-19,32,key+birth_year
franco alfonso,ar ARG,"FW,MF",Huracán,21,2002,2.9,0,0,0.1,0.3,7,0,83,125,66.4,2,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,franco alfonso,franco alfonso,huracan,2002,400000,988412,2002-05-04,23,first+last+birth_year
franco aragon,ar ARG,MF,Cen. Córdoba–SdE,29,1994,1.0,0,0,0.0,0.0,1,0,38,45,84.44,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,franco aragon,franco aragon,cen cordoba sde,1994,,,nan,,
franco armani,ar ARG,GK,River Plate,37,1986,22.0,0,0,0.0,0.0,0,0,472,550,85.82,0,0,0,0,16.0,0.73,68.0,51.0,80.9,9.0,40.9,4.0,3.0,1.0,0.0,19.7,0.24,3.7,0.17,58.0,124.0,46.8,395.0,109.0,21.5,28.7,10.0,4.5,21.0,0.95,15.7,True,37.0,franco armani,franco armani,river plate,1986,700000,119634,1986-10-16,39,key+birth_year
franco baldassarra,ar ARG,"MF,FW",Platense,25,1998,3.5,0,0,0.1,0.5,6,2,73,114,64.04,14,12,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,franco baldassarra,franco baldassarra,platense,1998,400000,655678,1998-09-29,27,key+birth_year
franco diaz,ar ARG,MF,Newell's OB,23,2000,0.5,0,0,0.0,0.0,1,0,20,30,66.67,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,franco diaz,franco diaz,newell s ob,2000,500000,748060,2000-08-28,25,first+last+birth_year
franco ibarra,ar ARG,MF,Rosario Central,22,2001,19.8,0,1,0.3,0.3,11,0,623,847,73.55,88,57,44,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,franco ibarra,franco ibarra,rosario central,2001,3500000,741685,2001-04-28,24,key+birth_year
franco jara,ar ARG,FW,Belgrano,35,1988,17.8,13,1,8.1,1.6,60,28,322,463,69.55,12,6,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0,franco jara,franco jara,belgrano,1988,200000,75035,1988-07-15,37,key+birth_year
franco mastantuono,ar ARG,"MF,FW",River Plate,16,2007,10.5,1,3,3.6,2.5,42,13,437,586,74.57,22,14,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,16.0,franco mastantuono,franco mastantuono,river plate,2007,,,nan,,
franco minerva,ar ARG,"MF,FW",Platense,17,2006,8.6,1,1,0.4,0.9,10,3,98,201,48.76,14,9,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,17.0,franco minerva,franco minerva,platense,2006,500000,1268653,2006-01-31,19,key+birth_year
franco moyano,ar ARG,MF,Talleres,26,1997,3.8,0,0,0.0,0.0,1,0,184,214,85.98,8,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,franco moyano,franco moyano,talleres,1997,,,nan,,
franco nicola,uy URU,"MF,FW",Atlé Tucumán,21,2002,7.3,1,0,1.2,0.9,11,5,152,231,65.8,20,12,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,franco nicola,franco nicola,atle tucuman,2002,300000,1015626,2002-04-18,23,first+last+birth_year
franco pardo,ar ARG,DF,Unión,26,1997,26.0,2,1,1.3,1.0,15,4,888,1186,74.87,51,36,24,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,franco pardo,franco pardo,union,1997,2300000,720716,1997-04-05,28,first+last+birth_year
franco paredes,ar ARG,DF,Sarmiento,24,1999,20.5,1,0,1.0,1.8,14,4,413,625,66.08,32,19,24,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,franco paredes,franco paredes,sarmiento,1999,800000,749016,1999-03-18,26,first+last+birth_year
franco petroli,ar ARG,GK,Godoy Cruz,25,1998,26.0,0,0,0.0,0.0,0,0,687,998,68.84,0,0,0,0,27.0,1.04,98.0,71.0,72.4,7.0,26.9,2.0,0.0,2.0,0.0,31.2,0.31,6.2,0.24,203.0,489.0,41.5,791.0,116.0,46.0,38.1,26.0,7.5,27.0,1.04,15.6,True,25.0,franco petroli,franco petroli,godoy cruz,1998,3200000,401587,1998-06-11,27,first+last+birth_year
franco rami,ar ARG,MF,Belgrano,20,2003,0.1,0,0,0.0,0.0,1,0,2,2,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,franco rami,franco rami,belgrano,2003,,,nan,,
franco romero,ar ARG,MF,Ind. Rivadavia,23,2000,26.9,2,0,1.7,0.3,5,0,776,982,79.02,59,38,46,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,franco romero,franco romero,ind rivadavia,2000,,,nan,,
franco troyansky,ar ARG,"FW,MF",Gimnasia–LP,26,1997,2.1,1,0,0.2,0.0,5,3,41,55,74.55,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,franco troyansky,franco troyansky,gimnasia lp,1997,,,nan,,
franco watson,ar ARG,"MF,FW",Huracán,24,2000,1.8,0,0,0.1,0.4,4,1,36,62,58.06,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,franco watson,franco watson,huracan,2000,,,nan,,
franco zapiola,ar ARG,MF,Platense,22,2001,1.9,0,0,0.1,0.0,3,0,29,46,63.04,5,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,franco zapiola,franco zapiola,platense,2001,1000000,909349,2001-02-19,24,key+birth_year
frank fabra,co COL,"DF,MF",Boca Juniors,32,1991,2.8,0,0,0.0,0.0,0,0,96,141,68.09,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,frank fabra,frank fabra,boca juniors,1991,200000,156561,1991-02-22,34,key+birth_year
gabriel alanis,ar ARG,"FW,MF",Defensa y Just,29,1994,9.5,2,3,1.9,2.0,24,6,184,270,68.15,15,11,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,gabriel alanis,gabriel alanis,defensa y justicia,1994,700000,342149,1994-03-16,31,first+last+birth_year
gabriel aranda,ar ARG,DF,Banfield,22,2001,5.3,0,0,0.2,0.0,2,1,151,193,78.24,5,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,gabriel aranda,gabriel aranda,banfield,2001,,,nan,,
gabriel arias,cl CHI,GK,Racing Club,36,1987,20.5,0,0,0.0,0.0,0,0,434,591,73.43,0,0,1,0,18.0,0.88,63.0,46.0,73.0,10.0,47.6,2.0,1.0,0.0,1.0,15.2,0.23,-1.8,-0.09,101.0,247.0,40.9,429.0,68.0,38.9,37.6,9.0,3.9,21.0,1.02,16.3,True,36.0,gabriel arias,gabriel arias,racing club,1987,400000,54330,1987-09-13,38,key+birth_year
gabriel avalos,py PAR,FW,Independiente,33,1990,23.5,9,1,6.1,1.1,55,24,277,500,55.4,13,7,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,gabriel avalos,gabriel avalos,independiente,1990,1000000,358418,1990-10-12,35,key+birth_year
gabriel carabajal,ar ARG,"MF,FW",Newell's OB,32,1991,3.0,0,1,0.2,0.8,5,0,100,141,70.92,4,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,gabriel carabajal,gabriel carabajal,newell s ob,1991,,,nan,,
gabriel compagnucci,ar ARG,"DF,MF",Belgrano,32,1991,15.6,0,3,0.5,2.3,9,1,447,654,68.35,29,19,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,gabriel compagnucci,gabriel compagnucci,belgrano,1991,200000,538608,1991-08-29,34,key+birth_year
gabriel diaz,ar ARG,DF,Sarmiento,23,2000,11.4,0,0,0.3,0.4,7,0,264,448,58.93,26,16,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,gabriel diaz,gabriel diaz,sarmiento,2000,800000,906940,2000-04-19,25,key+birth_year
gabriel gudino,ar ARG,"MF,FW",Sarmiento,31,1992,10.5,1,0,2.3,0.4,24,6,78,141,55.32,32,15,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,gabriel gudino,gabriel gudino,sarmiento,1992,,,nan,,
