Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,dob_fb,birth_year_fb,market_value_eur,player_id,dob,age,join_method
ali hazazi,sa KSA,MF,Al-Qadsiah,30,1994,8.3,1,0,8,2,0.0,0.0,0.0,0.0,22,0.0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,ali hazazi,ali hazazi,al qadsiah,1994,1994.0,450000,153172,1994-02-18,31,first+last+birth_year
ali lajami,sa KSA,DF,Al-Nassr,28,1996,15.9,0,1,10,2,0.0,0.0,0.0,0.0,20,0.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,ali lajami,ali lajami,al nassr,1996,1996.0,900000,264909,1996-04-24,29,first+last+birth_year
ali majrashi,sa KSA,DF,Al-Ahli,24,1999,25.7,0,0,24,7,0.0,0.0,0.0,0.0,64,0.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,ali majrashi,ali majrashi,al ahli,1999,1999.0,900000,672391,1999-10-01,26,first+last+birth_year
ali makki,sa KSA,DF,Al-Wehda,25,1999,15.1,0,1,3,0,0.0,0.0,0.0,0.0,16,0.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,ali makki,ali makki,al wehda,1999,1999.0,200000,1066198,1999-04-20,26,first+last+birth_year
aliou dieng,ml MLI,MF,Al Kholood Saudi Club,26,1997,29.2,3,0,24,8,0.0,0.0,0.0,0.0,30,0.0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,aliou dieng,aliou dieng,al kholood saudi club,1997,1997.0,,,nan,,
alvaro medran,es ESP,MF,Al-Ettifaq,30,1994,24.2,2,4,44,13,0.0,0.0,0.0,0.0,24,0.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,alvaro medran,alvaro medran,al ettifaq,1994,1994.0,4000000,253839,1994-03-15,31,first+last+birth_year
ambrose ochigbo,ng NGA,MF,Al Kholood Saudi Club,20,2003,1.1,0,0,2,0,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,ambrose ochigbo,ambrose ochigbo,al kholood saudi club,2003,2003.0,,,nan,,
ameen bokhari,sa KSA,GK,Damac,27,1997,2.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,3.0,1.5,6.0,4.0,66.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27.0,ameen bokhari,ameen bokhari,damac,1997,1997.0,,,nan,,
amir sayoud,dz ALG,"FW,MF",Al-Raed,33,1990,23.3,8,7,49,14,0.0,0.0,0.0,0.0,7,0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,amir sayoud,amir sayoud,al raed,1990,1990.0,550000,122493,1990-09-30,35,first+last+birth_year
ammar al-daheem,sa KSA,DF,Al-Fateh,30,1993,13.2,0,0,1,0,0.0,0.0,0.0,0.0,19,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,ammar al daheem,ammar daheem,al fateh,1993,1993.0,,,nan,,
anas al ghamdi,sa KSA,FW,Al-Taawoun,19,2005,0.4,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,anas al ghamdi,anas ghamdi,al taawoun,2005,2005.0,,,nan,,
anas al zahrani,0,MF,Al-Raed,0,0,0.1,0,0,1,0,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,anas al zahrani,anas zahrani,al raed,0,2024.0,,,nan,,
andre carrillo,pe PER,"FW,MF",Al-Qadsiah,33,1991,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,andre carrillo,andre carrillo,al qadsiah,1991,1991.0,,,nan,,
andre moreira,pt POR,GK,Al-Raed,28,1995,13.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,28.0,2.15,74.0,49.0,66.2,1.0,7.7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,28.0,andre moreira,andre moreira,al raed,1995,1995.0,,,nan,,
andrei girotto,br BRA,DF,Al-Taawoun,32,1992,25.6,1,0,14,3,0.0,0.0,0.0,0.0,40,0.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,andrei girotto,andrei girotto,al taawoun,1992,1992.0,3000000,270051,1992-02-17,33,first+last+birth_year
angelo,br BRA,MF,Al-Nassr,19,2004,15.2,1,6,26,5,0.0,0.0,0.0,0.0,21,0.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,angelo,angelo,al nassr,2004,2004.0,8000000,743598,2004-12-21,20,first+last+birth_year
arif al haydar,sa KSA,DF,Al-Khaleej,27,1997,0.2,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,arif al haydar,arif haydar,al khaleej,1997,1997.0,100000,901310,1997-06-20,28,first+last+birth_year
aschraf el mahdioui,nl NED,MF,Al-Taawoun,28,1996,28.9,0,0,10,1,0.0,0.0,0.0,0.0,37,0.0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,aschraf el mahdioui,aschraf mahdioui,al taawoun,1996,1996.0,3000000,295764,1996-05-24,29,first+last+birth_year
asiri haitham,sa KSA,FW,Al-Qadsiah,23,2001,2.1,0,0,7,2,0.0,0.0,0.0,0.0,3,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,asiri haitham,asiri haitham,al qadsiah,2001,2001.0,325000,796803,2001-03-25,24,fuzzy_global(100.0)
awad al nashri,sa KSA,MF,Al-Ittihad,22,2002,2.9,0,0,0,0,0.0,0.0,0.0,0.0,8,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,awad al nashri,awad nashri,al ittihad,2002,2002.0,225000,901163,2002-03-15,23,first+last+birth_year
awad aman,sa KSA,DF,Al-Nassr,19,2005,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,awad aman,awad aman,al nassr,2005,2005.0,50000,1180070,2005-01-16,20,first+last+birth_year
awadh khames,sa KSA,"DF,MF",Al Okhdood SC,36,1988,25.9,0,2,5,1,0.0,0.0,0.0,0.0,29,0.0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0,awadh khames,awadh khames,al okhdood sc,1988,1988.0,,,nan,,
awn al saluli,sa KSA,DF,Al-Taawoun,25,1998,11.5,0,0,2,1,0.0,0.0,0.0,0.0,5,0.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,awn al saluli,awn saluli,al taawoun,1998,1998.0,325000,509893,1998-09-02,27,first+last+birth_year
ayman fallatah,sa KSA,MF,Damac,20,2003,14.1,1,0,18,4,0.0,0.0,0.0,0.0,27,0.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,ayman fallatah,ayman fallatah,damac,2003,2003.0,300000,1188906,2003-10-02,22,first+last+birth_year
aymeric laporte,es ESP,DF,Al-Nassr,30,1994,17.0,4,0,19,9,0.0,0.0,0.0,0.0,8,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,aymeric laporte,aymeric laporte,al nassr,1994,1994.0,,,nan,,
ayoub qasmi,ma MAR,DF,Al-Raed,30,1993,24.6,1,0,6,3,0.0,0.0,0.0,0.0,20,0.0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,ayoub qasmi,ayoub qasmi,al raed,1993,1993.0,,,nan,,
azm al sayil,0,MF,Al-Raed,0,0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,azm al sayil,azm sayil,al raed,0,2024.0,,,nan,,
babucarr seye,gm GAM,FW,Al-Khaleej,17,2006,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,17.0,babucarr seye,babucarr seye,al khaleej,2006,2006.0,,,nan,,
bader monshi,sa KSA,MF,Damac,25,1999,0.9,0,0,2,0,0.0,0.0,0.0,0.0,3,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,bader monshi,bader monshi,damac,1999,1999.0,,,nan,,
bandar derwish,sa KSA,DF,Al-Wehda,22,2001,3.7,1,0,3,1,0.0,0.0,0.0,0.0,9,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,bandar derwish,bandar derwish,al wehda,2001,2001.0,,,nan,,
bander nasser,sa KSA,DF,Al-Khaleej,34,1990,2.7,0,0,0,0,0.0,0.0,0.0,0.0,5,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,bander nasser,bander nasser,al khaleej,1990,1990.0,100000,451125,1990-03-14,35,fuzzy_global(92.3076923076923)
bander whaeshi,sa KSA,DF,Al-Raed,22,2002,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,bander whaeshi,bander whaeshi,al raed,2002,2002.0,,,nan,,
basim saleh,sa KSA,FW,Al Kholood Saudi Club,20,2004,0.7,1,0,1,1,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,basim saleh,basim saleh,al kholood saudi club,2004,2004.0,,,nan,,
bassam al hurayji,sa KSA,DF,Al-Ahli,24,2000,3.6,0,0,2,1,0.0,0.0,0.0,0.0,8,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,bassam al hurayji,bassam hurayji,al ahli,2000,2000.0,400000,901076,2000-03-29,25,first+last+birth_year
bento,br BRA,GK,Al-Nassr,25,1999,34.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,40.0,1.18,143.0,105.0,74.1,10.0,29.4,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,25.0,bento,bento,al nassr,1999,1999.0,11000000,691906,1999-06-10,26,first+last+birth_year
bernard mensah,gh GHA,"MF,FW",Al-Riyadh SC,29,1994,25.7,5,4,48,14,0.0,0.0,0.0,0.0,20,0.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,bernard mensah,bernard mensah,al riyadh sc,1994,1994.0,,,nan,,
brad young,eng ENG,"MF,FW",Al-Orobah,21,2003,11.7,2,1,13,6,0.0,0.0,0.0,0.0,5,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,brad young,brad young,al orobah,2003,2003.0,,,nan,,
cameron puertas,ch SUI,MF,Al-Qadsiah,25,1998,28.7,3,9,78,27,0.0,0.0,0.0,0.0,59,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,cameron puertas,cameron puertas,al qadsiah,1998,1998.0,,,nan,,
chris smalling,eng ENG,DF,Al-Fayha,34,1989,29.3,1,0,10,4,0.0,0.0,0.0,0.0,16,0.0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,chris smalling,chris smalling,al fayha,1989,1989.0,1500000,103427,1989-11-22,35,first+last+birth_year
christian bassogog,cm CMR,"MF,FW",Al Okhdood SC,28,1995,30.2,6,1,45,22,0.0,0.0,0.0,0.0,19,0.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,christian bassogog,christian bassogog,al okhdood sc,1995,1995.0,1200000,374281,1995-10-18,30,first+last+birth_year
craig goodwin,au AUS,"MF,FW",Al-Wehda,32,1991,21.2,6,7,36,15,0.0,0.0,0.0,0.0,17,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,craig goodwin,craig goodwin,al wehda,1991,1991.0,,,nan,,
cristian guanca,ar ARG,MF,Al-Shabab,31,1993,33.3,12,11,83,35,0.0,0.0,0.0,0.0,22,0.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,cristian guanca,cristian guanca,al shabab,1993,1993.0,,,nan,,
cristian tello,es ESP,"MF,FW",Al-Orobah,32,1991,19.4,5,3,42,15,0.0,0.0,0.0,0.0,8,0.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,cristian tello,cristian tello,al orobah,1991,1991.0,,,nan,,
cristiano ronaldo,pt POR,FW,Al-Nassr,39,1985,29.1,25,3,149,68,0.0,0.0,0.0,0.0,1,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,39.0,cristiano ronaldo,cristiano ronaldo,al nassr,1985,1985.0,12000000,8198,1985-02-05,40,first+last+birth_year
damion lowe,jm JAM,DF,Al Okhdood SC,31,1993,21.4,0,1,12,4,0.0,0.0,0.0,0.0,24,0.0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,damion lowe,damion lowe,al okhdood sc,1993,1993.0,,,nan,,
daniel podence,pt POR,"FW,MF",Al-Shabab,28,1995,15.6,2,7,29,13,0.0,0.0,0.0,0.0,10,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,daniel podence,daniel podence,al shabab,1995,1995.0,,,nan,,
danilo pereira,pt POR,DF,Al-Ittihad,32,1991,25.1,2,0,12,3,0.0,0.0,0.0,0.0,14,0.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,danilo pereira,danilo pereira,al ittihad,1991,1991.0,4500000,141050,1991-09-09,34,first+last+birth_year
demarai gray,jm JAM,"MF,FW",Al-Ettifaq,28,1996,18.9,0,0,34,10,0.0,0.0,0.0,0.0,13,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,demarai gray,demarai gray,al ettifaq,1996,1996.0,,,nan,,
dhari al anazi,sa KSA,"DF,MF",Damac,24,2000,26.1,0,1,6,1,0.0,0.0,0.0,0.0,50,0.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,dhari al anazi,dhari anazi,damac,2000,2000.0,375000,1013847,2000-05-06,25,first+last+birth_year
diego ferreira,br BRA,"DF,MF",Al Okhdood SC,21,2003,5.5,0,0,3,0,0.0,0.0,0.0,0.0,7,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,diego ferreira,diego ferreira,al okhdood sc,2003,2003.0,,,nan,,
dimitrios kourbelis,gr GRE,"MF,DF",Al-Khaleej,30,1993,17.7,2,1,14,6,0.0,0.0,0.0,0.0,19,0.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,dimitrios kourbelis,dimitrios kourbelis,al khaleej,1993,1993.0,1200000,157543,1993-11-02,31,first+last+birth_year
djaniny,cv CPV,FW,Al-Fateh,33,1991,18.8,5,0,40,19,0.0,0.0,0.0,0.0,3,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,djaniny,djaniny,al fateh,1991,1991.0,,,nan,,
edouard mendy,sn SEN,GK,Al-Ahli,32,1992,27.0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0,27.0,1.0,90.0,66.0,72.2,12.0,42.9,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,32.0,edouard mendy,edouard mendy,al ahli,1992,1992.0,5000000,442531,1992-03-01,33,first+last+birth_year
eid al muwallad,sa KSA,MF,Al Okhdood SC,22,2001,9.6,0,0,0,0,0.0,0.0,0.0,0.0,19,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,eid al muwallad,eid muwallad,al okhdood sc,2001,2001.0,500000,1130616,2001-12-14,23,first+last+birth_year
emad qaysi,sa KSA,MF,Al-Shabab,17,2006,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,17.0,emad qaysi,emad qaysi,al shabab,2006,2006.0,,,nan,,
emmanuel boateng,gh GHA,FW,Al-Orobah,28,1996,11.9,2,2,35,7,0.0,0.0,0.0,0.0,5,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,emmanuel boateng,emmanuel boateng,al orobah,1996,1996.0,,,nan,,
enes sali,ro ROU,MF,Al-Riyadh SC,18,2006,3.3,1,1,14,4,0.0,0.0,0.0,0.0,4,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,enes sali,enes sali,al riyadh sc,2006,2006.0,,,nan,,
ezequiel fernandez,ar ARG,MF,Al-Qadsiah,22,2002,29.5,1,3,24,8,0.0,0.0,0.0,0.0,60,0.0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,ezequiel fernandez,ezequiel fernandez,al qadsiah,2002,2002.0,,,nan,,
fabinho,br BRA,MF,Al-Ittihad,30,1993,31.8,2,1,15,6,0.0,0.0,0.0,0.0,44,0.0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,fabinho,fabinho,al ittihad,1993,1993.0,15000000,225693,1993-10-23,31,first+last+birth_year
fabio martins,pt POR,MF,Al-Khaleej,31,1993,28.5,7,1,57,16,0.0,0.0,0.0,0.0,28,0.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,fabio martins,fabio martins,al khaleej,1993,1993.0,2200000,223029,1993-07-24,32,first+last+birth_year
fahad al abdulraziq,sa KSA,"DF,MF",Al-Taawoun,0,0,7.1,0,0,3,1,0.0,0.0,0.0,0.0,12,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,fahad al abdulraziq,fahad abdulraziq,al taawoun,0,2024.0,,,nan,,
fahad al hamad,sa KSA,DF,Al-Ahli,26,1998,0.6,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,fahad al hamad,fahad hamad,al ahli,1998,1998.0,,,nan,,
fahad al muwallad,sa KSA,MF,Al-Shabab,29,1994,2.0,0,0,1,1,0.0,0.0,0.0,0.0,2,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,fahad al muwallad,fahad muwallad,al shabab,1994,1994.0,,,nan,,
fahad al rashidi,sa KSA,MF,Al-Ahli,27,1997,2.9,0,0,8,3,0.0,0.0,0.0,0.0,5,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,fahad al rashidi,fahad rashidi,al ahli,1997,1997.0,300000,509912,1997-05-16,28,first+last+birth_year
fahad al zubidi,sa KSA,"MF,FW",Al-Orobah,22,2002,17.8,2,1,33,16,0.0,0.0,0.0,0.0,23,0.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,fahad al zubidi,fahad zubidi,al orobah,2002,2002.0,,,nan,,
fahad al-rashidi,sa KSA,MF,Al-Orobah,33,1991,15.5,0,0,11,3,0.0,0.0,0.0,0.0,19,0.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,fahad al rashidi,fahad rashidi,al orobah,1991,1991.0,,,nan,,
fahad bin jumayah,sa KSA,"DF,MF",Al-Taawoun,29,1995,15.5,0,3,5,1,0.0,0.0,0.0,0.0,25,0.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,fahad bin jumayah,fahad jumayah,al taawoun,1995,1995.0,,,nan,,
faisal al abdulwahed,sa KSA,FW,Al-Fateh,19,2004,1.1,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,faisal al abdulwahed,faisal abdulwahed,al fateh,2004,2004.0,75000,970671,2004-12-29,20,first+last+birth_year
faisal al subiani,sa KSA,MF,Damac,21,2003,17.1,0,0,4,2,0.0,0.0,0.0,0.0,27,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,faisal al subiani,faisal subiani,damac,2003,2003.0,350000,1060930,2003-07-07,22,first+last+birth_year
faissal nahet,0,FW,Al-Raed,0,0,0.1,0,0,1,0,0.0,0.0,0.0,0.0,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,faissal nahet,faissal nahet,al raed,0,2024.0,,,nan,,
faiz selemani,km COM,"MF,FW",Al-Riyadh SC,30,1993,24.3,6,4,43,20,0.0,0.0,0.0,0.0,22,0.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,faiz selemani,faiz selemani,al riyadh sc,1993,1993.0,,,nan,,
farhah al shamrani,sa KSA,MF,Al Kholood Saudi Club,18,2006,5.3,0,0,5,2,0.0,0.0,0.0,0.0,6,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,farhah al shamrani,farhah shamrani,al kholood saudi club,2006,2006.0,600000,1145311,2006-02-27,19,first+last+birth_year
faris abdi,sa KSA,"DF,MF",Al-Fayha,25,1999,27.6,1,1,11,4,0.0,0.0,0.0,0.0,81,0.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,faris abdi,faris abdi,al fayha,1999,1999.0,450000,578992,1999-05-09,26,first+last+birth_year
farouk chafai,dz ALG,DF,Damac,34,1990,29.9,3,1,33,11,0.0,0.0,0.0,0.0,19,0.0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,farouk chafai,farouk chafai,damac,1990,1990.0,,,nan,,first+last+birth_year±1(unique)
fashion sakala,zm ZAM,"FW,MF",Al-Fayha,27,1997,30.9,8,4,78,27,0.0,0.0,0.0,0.0,14,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,fashion sakala,fashion sakala,al fayha,1997,1997.0,4000000,485729,1997-03-14,28,first+last+birth_year
fawaz al terais,sa KSA,MF,Al-Orobah,24,2000,7.9,0,2,8,1,0.0,0.0,0.0,0.0,9,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,fawaz al terais,fawaz terais,al orobah,2000,2000.0,,,nan,,
fawaz al-sqoor,sa KSA,DF,Al-Ittihad,28,1996,12.6,2,2,8,5,0.0,0.0,0.0,0.0,8,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,fawaz al sqoor,fawaz sqoor,al ittihad,1996,1996.0,650000,364450,1996-04-23,29,first+last+birth_year
faycal fajr,ma MAR,MF,Al-Taawoun,35,1988,25.2,0,6,6,0,0.0,0.0,0.0,0.0,30,0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35.0,faycal fajr,faycal fajr,al taawoun,1988,1988.0,,,nan,,
firas al-buraikan,sa KSA,"MF,FW",Al-Ahli,24,2000,22.9,3,7,29,12,0.0,0.0,0.0,0.0,26,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,firas al buraikan,firas buraikan,al ahli,2000,2000.0,4500000,631922,2000-05-14,25,first+last+birth_year
flavio,br BRA,MF,Al-Taawoun,28,1996,9.5,0,1,4,3,0.0,0.0,0.0,0.0,25,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,flavio,flavio,al taawoun,1996,1996.0,2200000,373191,1996-02-10,29,first+last+birth_year
florin nita,ro ROU,GK,Damac,37,1987,31.0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,2,46.0,1.48,145.0,103.0,70.3,7.0,22.6,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,37.0,florin nita,florin nita,damac,1987,1987.0,,,nan,,
fraj al rashid,sa KSA,FW,Al-Orobah,20,2004,0.0,0,0,1,1,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,fraj al rashid,fraj rashid,al orobah,2004,2004.0,,,nan,,
franck kessie,ci CIV,MF,Al-Ahli,27,1996,28.8,2,4,43,14,0.0,0.0,0.0,0.0,28,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,franck kessie,franck kessie,al ahli,1996,1996.0,14000000,294808,1996-12-19,28,first+last+birth_year
francois kamano,gn GUI,"MF,FW",Damac,28,1996,24.9,4,2,39,12,0.0,0.0,0.0,0.0,16,0.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,francois kamano,francois kamano,damac,1996,1996.0,,,nan,,
gabriel vareta,br BRA,DF,Al-Fayha,19,2005,8.2,0,0,3,1,0.0,0.0,0.0,0.0,12,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,gabriel vareta,gabriel vareta,al fayha,2005,2005.0,,,nan,,
gabriel veiga,es ESP,MF,Al-Ahli,22,2002,28.1,7,5,64,23,0.0,0.0,0.0,0.0,29,0.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,gabriel veiga,gabriel veiga,al ahli,2002,2002.0,,,nan,,
gaetan coucke,be BEL,GK,Al-Orobah,25,1998,31.8,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,2,68.0,2.14,158.0,100.0,63.3,5.0,15.6,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,25.0,gaetan coucke,gaetan coucke,al orobah,1998,1998.0,,,nan,,
galeno,br BRA,MF,Al-Ahli,26,1997,10.5,3,2,19,8,0.0,0.0,0.0,0.0,7,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,galeno,galeno,al ahli,1997,1997.0,24000000,454121,1997-10-22,28,first+last+birth_year
gaston alvarez,uy URU,DF,Al-Qadsiah,24,2000,28.3,1,0,7,2,0.0,0.0,0.0,0.0,30,0.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,gaston alvarez,gaston alvarez,al qadsiah,2000,2000.0,9000000,577486,2000-03-24,25,first+last+birth_year
georges-kevin n'koudou,cm CMR,"MF,FW",Damac,29,1995,28.4,13,4,71,35,0.0,0.0,0.0,0.0,18,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,georges kevin n koudou,georges koudou,damac,1995,1995.0,,,nan,,
georginio wijnaldum,nl NED,"MF,FW",Al-Ettifaq,33,1990,32.4,14,4,50,28,0.0,0.0,0.0,0.0,9,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,georginio wijnaldum,georginio wijnaldum,al ettifaq,1990,1990.0,3000000,49499,1990-11-11,34,first+last+birth_year
